name,latency,throughput(cpi)
vhaddw_w_h,2.00,2.00
vhaddw_wu_hu,2.00,2.00
vhsubw_d_w,2.00,2.00
vhsubw_du_wu,2.00,1.99
vhsubw_h_b,2.00,2.00
vhsubw_hu_bu,2.00,2.00
vhsubw_q_d,3.00,2.00
vhsubw_qu_du,3.00,2.00
vhsubw_w_h,2.00,2.00
vhsubw_wu_hu,2.00,2.00
vilvh_b,1.00,4.00
vilvh_d,1.00,4.00
vilvh_h,1.00,4.00
vilvh_w,1.00,4.00
vilvl_b,1.00,4.00
vilvl_d,1.00,4.00
vilvl_h,1.00,4.00
vilvl_w,1.00,4.00
vinsgr2vr_b,1.00,1.00
vinsgr2vr_d,1.00,1.00
vinsgr2vr_h,1.00,1.00
vinsgr2vr_w,1.00,1.00
vmadd_b,4.00,0.25
vmadd_d,4.00,0.25
vmadd_h,4.00,0.25
vmadd_w,4.00,0.25
vmaddwev_d_w,4.00,0.25
vmaddwev_d_wu,4.00,0.25
vmaddwev_d_wu_w,4.00,0.25
vmaddwev_h_b,4.00,0.25
vmaddwev_h_bu,4.00,0.25
vmaddwev_h_bu_b,4.00,0.25
vmaddwev_q_d,6.99/7.00,0.14
vmaddwev_q_du,6.99,0.14
vmaddwev_q_du_d,6.99,0.14
vmaddwev_w_h,4.00,0.25
vmaddwev_w_hu,4.00,0.25
vmaddwev_w_hu_h,4.00,0.25
vmaddwod_d_w,4.00,0.25
vmaddwod_d_wu,4.00,0.25
vmaddwod_d_wu_w,4.00,0.25
vmaddwod_h_b,4.00,0.25
vmaddwod_h_bu,4.00,0.25
vmaddwod_h_bu_b,4.00,0.25
vmaddwod_q_d,6.99,0.14
vmaddwod_q_du,6.99,0.14
vmaddwod_q_du_d,6.99,0.14
vmaddwod_w_h,4.00,0.25
vmaddwod_w_hu,4.00,0.25
vmaddwod_w_hu_h,4.00,0.25
vmax_b,1.00,3.95
vmax_bu,1.00,3.96
vmax_d,2.00,3.96
vmax_du,2.00,3.96
vmax_h,1.00,3.95
vmax_hu,1.00,3.92
vmax_w,1.00,3.95
vmax_wu,1.00,3.96
