name,latency,throughput(ipc),throughput(cpi)
vfrsqrt_d,15.99,0.02,54.96
vfrsqrt_s,25.98,0.02,61.96
vfrstp_b,1.00,1.00,1.00
vfrstp_h,1.00,1.00,1.00
vfrstpi_b,1.00,1.00,1.00
vfrstpi_h,1.00,1.00,1.00
vfscaleb_d,4.00,1.00,1.00
vfscaleb_s,4.00,1.00,1.00
vfsqrt_d,10.99,0.03,36.98
vfsqrt_s,27.98,0.03,39.97
vfsub_d,4.00,1.00,1.00
vfsub_s,4.00,1.00,1.00
vftint_l_d,4.00,1.00,1.00
vftint_lu_d,4.00,1.00,1.00
vftint_w_d,5.00,0.50,2.00
vftint_w_s,4.00,1.00,1.00
vftint_wu_s,4.00,1.00,1.00
vftinth_l_s,5.00,0.50,2.00
vftintl_l_s,5.00,0.50,2.00
vftintrm_l_d,4.00,1.00,1.00
vftintrm_w_d,5.00,0.50,2.00
vftintrm_w_s,4.00,1.00,1.00
vftintrmh_l_s,5.00,0.50,2.00
vftintrml_l_s,5.00,0.50,2.00
vftintrne_l_d,4.00,1.00,1.00
vftintrne_w_d,5.00,0.50,2.00
vftintrne_w_s,4.00,1.00,1.00
vftintrneh_l_s,5.00,0.50,2.00
vftintrnel_l_s,5.00,0.50,2.00
vftintrp_l_d,4.00,1.00,1.00
vftintrp_w_d,5.00,0.50,2.00
vftintrp_w_s,4.00,1.00,1.00
vftintrph_l_s,5.00,0.50,2.00
vftintrpl_l_s,5.00,0.50,2.00
vftintrz_l_d,4.00,1.00,1.00
vftintrz_lu_d,4.00,1.00,1.00
vftintrz_w_d,5.00,0.50,2.00
vftintrz_w_s,4.00,1.00,1.00
vftintrz_wu_s,4.00,1.00,1.00
vftintrzh_l_s,5.00,0.50,2.00
vftintrzl_l_s,5.00,0.50,2.00
vhaddw_d_w,2.00,1.00,1.00
vhaddw_du_wu,2.00,1.00,1.00
vhaddw_h_b,2.00,1.00,1.00
vhaddw_hu_bu,2.00,1.00,1.00
vhaddw_q_d,2.00,1.00,1.00
vhaddw_qu_du,2.00,1.00,1.00
vhaddw_w_h,2.00,1.00,1.00
vhaddw_wu_hu,2.00,1.00,1.00
vhsubw_d_w,2.00,1.00,1.00
vhsubw_du_wu,2.00,1.00,1.00
vhsubw_h_b,2.00,1.00,1.00
vhsubw_hu_bu,2.00,1.00,1.00
vhsubw_q_d,2.00,1.00,1.00
vhsubw_qu_du,2.00,1.00,1.00
vhsubw_w_h,2.00,1.00,1.00
vhsubw_wu_hu,2.00,1.00,1.00
vilvh_b,1.00,1.00,1.00
vilvh_d,1.00,1.00,1.00
vilvh_h,1.00,1.00,1.00
vilvh_w,1.00,1.00,1.00
vilvl_b,1.00,1.00,1.00
vilvl_d,1.00,1.00,1.00
vilvl_h,1.00,1.00,1.00
vilvl_w,1.00,1.00,1.00
vinsgr2vr_b,1.00,1.00,1.00
vinsgr2vr_d,1.00,1.00,1.00
vinsgr2vr_h,1.00,1.00,1.00
vinsgr2vr_w,1.00,1.00,1.00
vmadd_b,4.00,1.00,1.00
vmadd_d,4.00,1.00,1.00
vmadd_h,4.00,1.00,1.00
vmadd_w,4.00,1.00,1.00
vmaddwev_d_w,4.00,1.00,1.00
vmaddwev_d_wu,4.00,1.00,1.00
vmaddwev_d_wu_w,4.00,1.00,1.00
vmaddwev_h_b,4.00,1.00,1.00
vmaddwev_h_bu,4.00,1.00,1.00
vmaddwev_h_bu_b,4.00,1.00,1.00
vmaddwev_q_d,6.00,1.00,1.00
vmaddwev_q_du,6.00,1.00,1.00
vmaddwev_q_du_d,6.00,1.00,1.00
vmaddwev_w_h,4.00,1.00,1.00
vmaddwev_w_hu,4.00,1.00,1.00
vmaddwev_w_hu_h,4.00,1.00,1.00
vmaddwod_d_w,4.00,1.00,1.00
vmaddwod_d_wu,4.00,1.00,1.00
vmaddwod_d_wu_w,4.00,1.00,1.00
vmaddwod_h_b,4.00,1.00,1.00
vmaddwod_h_bu,4.00,1.00,1.00
vmaddwod_h_bu_b,4.00,1.00,1.00
vmaddwod_q_d,6.00,1.00,1.00
vmaddwod_q_du,6.00,1.00,1.00
vmaddwod_q_du_d,6.00,1.00,1.00
vmaddwod_w_h,4.00,1.00,1.00
vmaddwod_w_hu,4.00,1.00,1.00
vmaddwod_w_hu_h,4.00,1.00,1.00
vmax_b,1.00,1.00,1.00
vmax_bu,1.00,1.00,1.00
vmax_d,2.00,1.00,1.00
vmax_du,2.00,1.00,1.00
vmax_h,1.00,1.00,1.00
vmax_hu,1.00,1.00,1.00
vmax_w,1.00,1.00,1.00
vmax_wu,1.00,1.00,1.00
vmaxi_b,1.00,1.00,1.00
vmaxi_bu,1.00,1.00,1.00
vmaxi_d,2.00,1.00,1.00
vmaxi_du,2.00,1.00,1.00
vmaxi_h,1.00,1.00,1.00
vmaxi_hu,1.00,1.00,1.00
vmaxi_w,1.00,1.00,1.00
vmaxi_wu,1.00,1.00,1.00
vmepatmsk_v,,1.00,1.00
vmin_b,1.00,1.00,1.00
vmin_bu,1.00,1.00,1.00
vmin_d,2.00,1.00,1.00
vmin_du,2.00,1.00,1.00
vmin_h,1.00,1.00,1.00
vmin_hu,1.00,1.00,1.00
vmin_w,1.00,1.00,1.00
vmin_wu,1.00,1.00,1.00
vmini_b,1.00,1.00,1.00
vmini_bu,1.00,1.00,1.00
vmini_d,2.00,1.00,1.00
